input_clean,output_clean
please add subtitles to downton abbet,sure. i have forwarded the details to the appropriate team to take immediate action on this.
yesterday at 517pm not cool btw! i was told there was an issue and my delivery would not be arriving today and to wait one or two days on nominated delivery too! ordered on monday specially for yesterday.,sorry to hear that. were you provided a reason for the delay?
my order is delivered but items missing in it,sorry to know about the missing items. kindly report this to our support team here and we will be happy to help.
"the findlay, oh location is horrible! they mess up our order 100 of the time!",this certainly is not the type of shoutout we like to hear. mind sharing your order number and more details so we can look into this?
"i did contact the support, and the delivery is no where in sight. i took less than 1 day to travel from hyderabad to pune, but takes forever to deliver to customer with in the city. amazing amazon service. my order 40204777119495544. please check.","please do not provide your order details, we consider it to be personal information. our page is visible to the public."
this is the most annoying thing in my life right now,this is certainly not the behavior we want you to eerience. we want to help! could you tell us which iphone and ios version you are using? heres a link to help locate your ios version
"i booked a place which is not it says. now when i am cancelling it, it is charging me. it is not my fault and host is not cancelling either to avoid panalty. can you please help?","hi there, thank you for contacting us. we have located your account and have escalated you to a specialist who will followup with you directly for support. if there is anything you need in the meantime, let us know. we are here to help."
only,"sorry for the trouble caused, request you to share idea contact number, so we will assist you further. regards, shruti"
the plane that s supposed to fly me from boston to buffalo in 30 minutes hasn t even left buffalo yet. last time on .,oh no!! that is not what we like to hear. please message me your confirmation number. i will gladly look into it for you.
"thanks for the response. i am a fitness instructor amp i have been using spotify for 5 years with a premium account. it used to sync between devices seamlessly, not anymore. i am on ios 11.1.1 and current on spotify version. did machine learning change over the last year?","thanks. the algorithm used for your discover weekly playlist should still be more or less the same. as for the issues you are eeriencing, could you try logging out and back in again? if you still encounter the same thing, does doing a soft reset on your device help?"
where it says start chat is grayed out,were you able to fill out all the required fields? also are you signed into your account?
why is the temp auth on my card 154 when the actual order was 18? i cant even use my card now cus of the overcharge,hello! can you message your account email address?
visiting both sides of family.... gets us out of doing the cooking,good plan! is there anything you do every year that makes christmas for you?
so tired of wells fargo,"did something happen? if so, tell me more about your eerience no account numbers. i am here to help."
"bjr, ma maman a command quelque chose pour moi sur votre site. le colis est arriv chez elle vide !! que peutelle faire? merci",navr e dapprendre cela. avezvous signal cet incident notre sav sil vous pla t ?
after 40 min trapped on a bus we ve boarded still not taking off. our flight time was 936est. and we have no ac. bravo !,"our apologies for the wait, we will have you cooled off and on your way as quickly as we can."
email 07860570601 i really do not know what yous can do now. we had to buy 2 plane tickets and 2 train tickets to get home!,"hi chun, we are looking into this now for you. please can you let us know your booking reference, then we will give you a call. lewis"
15.03 available is showing. and i don t have other contacts associated with my phone contacts.,"do you have another device such as a computer, tablet, or another phone that your contacts also appear on, and stay in sync with your iphone?"
30 coustmer care,"we are awaiting for your response to resolve ur issue. pls provide the same within next 24 hrs. rgds, idea care"
"it is all ok, and sorted itself out now! thank you anyway","no worries! if you ever need anything else, just shout and we will come running"
at and i found a box cutter in the 1 socks section... cool,thanks for reaching out to us and bringing this to our attention. we want our guests to have a safe shopping environment. can you please send us the store location this was at?
"hi i withdrew sh.2000 from wrong agent, can it be reversed?details ljh5qfy0ov agent no. 488468",check dm.
any updates?,apologies for the delay. please connect with our support team here for assistance.
someone please contact me regarding my account. thank you,"hey mike, we are happy to help. can you message us the phone number associated with your account so we can take a look?"
i don t know how many people received this kind of email. but i m sure that this is just another scam.,that is a fake email. you can use the steps here to help share it with us and prevent it
oh thanks. i never received it. all i have is a survey invitation.,"oh that is strange! not a worry, i will send you our message again and let me know if you do not get this. jenniferjackson"
"hey , your tech killed broadband and my entire workday today. his response? call att i called and waited 2hr. no show. you cancelled the appt and won t say why. missed deadlines, hrs of missed work. thanks for your sorry. 10 yrs. here i come and",hey there! we would be glad 2 have you join our sprint family! check out our contract buyout offer visit
i ordered a surface pen tip kit in mid sept. has not arrived called support and they have hung up twice! what is going on?,"that is odd, anthony. was microsoft store sales and customer support the one you contacted?"
it is still not working!,can you let us know the android and spotify versions you are running? we will check it out
why are almost all flights to london on from pittsburgh at 6am when flights to the transfer cities are later in the day. yet the london departure is in the evening? it was never like this.,"our schedules and time slots do change from time to time, ed. we are sorry for your frustration."
amazon,. oo 3
that is the worst part. i head in eecting 1 star service. simple questions like transfer me to the gig group cannot be handled.,"hi tate, the work order has been canceled already as you have requested. let me know if you have any other questions. chris"
pls check my bookingjflbns amp ggg1tp i have buy check in luggage but after make a date change due to bali valcano ak staff didn t booked for me. please help to reinstate. waiting for your reply.,"really sorry for the delay as we are eeriencing massive volume. anyhow, we are glad to see you have boarded the flight successfully. thank you. miza"
you have about 100 people who are not happy with you right now.,"sorry, about that sue. i see that we do offer bag drop off in bos. please see an agent to help locate them. suli"
will 1238 ever deliver my order in the first hour after the eected delivery time? probably not.,we are sorry your order is late! please message us your contact info and store address. thanks!
airlines are the devil. sucks too,something i can help with? jordan
hey guys...please call 0725959291. urgently please,"hi, give a brief of the issue."
"why can i not report a fraudulent sale? ebay knows i was scammed, but it is impossible to select this as a refund option","hey there! i would be happy to help! i recommend opening an item not received case, as the item has not been sent..."
hi. it was not the point that i missed out on but the actual cash discount. there was meant to be 20 off certain items of shopping but that did not happen!,what was it you bought? please tweet a screenshot of the tampcs so we can look into this.
ordered a product 10 days back in paid full amount in advance no clue when will i get my product and can the worlds richest person help,i am sorry that you have not received the product yet. have you reported this to our support team here for assistance?
i will try it as soon as i can. i will be in touch,sounds like a plan! looking forward to hearing from you. we will be...
can we travel with these clear tumblers as carry on or checked?,"we have nothing against tumblers, ashley. just be sure they do not contain any liquid if you plan to carry them through tsas checkpoint."
so it s just cancelled at sur? meaning the next train will be more overcrowded than normal if we can get on.,"hello, the 0831 starts from hampton court and would have have been the next appropriate service. did you manage to board the train?"
"flight was delayed in tucson to atl by almost 2 hours, will i miss my connecting flight",oh no! let us take a look. please follow dm your confirmation number so that i may assist. thank you.
have you ever considered serving breakfast? because a burrito bowl with eggs and hashbrowns sounds heavenly,right? just about everything is better inside of a tortilla. we are testing it at one location at the moment. no plans for a nationwide roll out in the near future. becky
my spotify no longer shows up when i m playing music so i have to go into app to change a song and my photos are no longer in order,"to better assist, where is spotify failing to show up? in regard to photos, is this directly in the photos app?"
my fire stick has suddenly stopped working! literally just showing me the amazon logo devastated,oh no! have you tried resetting it using the steps listed here
do you think you can add the last episode of to your ondemand? their episode aired thursday,we upload the content provided to us by the networks. once we receive the content we will add it on demand.
interesting! how much time is saved via the group system vs. reartofront? any priority for card holders?,...boarding for cardholders.
windows 10 and i have the newest version. i uninstalled spotify and reinstalled it.,"got it. just to check, are you getting any error messages? if so, could you fire over a screenshot of how it looks like on your end?"
i already used that method it didnt work whats ur phone number,once you have performed this deactivation you will be unable to repeat it for 6 months.
loving the windows 10 update love techgore,oh no! we will not leave you in the darkness of eternity. have you tried any troubleshooting steps? can you see the login screen?
"fix this please, i m tired of sounding illiterate",here s what you can do to work around the issue until it s fixed in a future software update
are there any coupons for religious users? all the ones i ve seen are for new users...,find out more about promo here
"thank you for a job well done to your platform 1 staff, and jane at birmingham international lost property...just a hat and gloves to some, but a treasure returned to me love faithrestored",great to hear jane and the team have been able to help you be reunited with your hat and gloves!
how do i do this?,that is telling you the app is already installed on your iphone. you can search your iphone to locate the app itself. this article will provide more information
it even says return on my outbound ticket...,"all parts of the ticket are required in order for this to be valid, but again, do speak to station staff in regards to this"
great to know that you hire customer service reps who hang up the phone on your customers because they do not want to deal them!!,"this is not the eerience we strive for! please, give us another chance to address this here"
help my rider account . i am trying to update it.,here to help. send us a note at so our team can connect.
i have,"ah, sorry that did not work! unfortunately, broadcasts are subject to regional availability and blackouts. sincere apologies!"
"i was sending to you in private, but no answer.!!!","hi bandar, i can confirm we have now replied to your dm. tom"
"dude, why have y all made i.t pop up when i type it . i hate i.t ????? i need answers","let us get your keyboard typing as you eect it to. which device and software version are you using? reply by dm, and we will help from there."
"just landed in atlanta, georgia . thanks !",thank you for flying with us. i hope that you enjoyed your flight.
"i m being charged 150 for a mess from my trip that requires cleanup , for a trip that i didn t even take!",that is not ok! contact us via so we can assist.
wyd my phone can t understand the letter,here s what you can do to work around the issue until it s fixed in a future software update
ah estaremos el 13! sabemos si viene con subt tulo en castellano?,"todos los detalles estar n disponibles directamente en la p gina cuando el contenido se encuentre disponible, piti"
just landed in seattle for the new gig and starts playing . day is made!,"we are so glad you are enjoying our tunes and thank you for flying with us. good luck on the new gig, olivia!"
when you re out of state on a weekend so inactivated your cars halfway through your trip justisitathings,"hi, if you d like help, please click below, send your name zip phone. am"
have come to the conclusion that prime is useless as long as they keep using intelcom to lose all of their packages.,hi jamie! are you currently waiting on a delivery? we will be glad to help!
thought photo said it all! this arrived yesterday with a detached pom pom,"sorry fiona. can you message the account holders name, order number, email address and contact number using the link below? amanda"
i lied it s only been two weeks...,"we want you to have the device in your hands, asap! we are always here for you. toss me over a dm. devyngalligher"
very pathetic service by amazon india. its write india but not support hindi customer service for kindle users. shame on you,"i get your disappointment, mishra. we currently do not have hindi kindle support. however, i will ensure to forward your feedback to the concerned team internally for a review. appreciate your understanding."
i wish i remembered her name. sorry,"no worries! thanks for sharing your positive eerience with us. if you have any other questions, we will only be a tweet away!"
has really dropped the ball in so fla. if im transferring to thank you for wasting a 2 month of my time w no service,"hey, jai. we would hate to see you go! pleaes message us details on how we can better assist in keeping you happy! tomj"
congratz! rs.5000 has been credited to your amazon pay balance wallet. valid till midnight 11 59 .,"we would like to know if this is a genuine notification, call us here amp we will check this for you."
can you advise whether you can use the bag drop checkin kiosk at london gatwick airport the night before a flight to usa ?,between 1600 and 2200 the day before your flight departs. linda
my order has been messed up twice in a row and i am not happy. you have been flawless up until the one time i ordered something limited edition,"oh yikes, tom. i am sorry this has happened. please, without giving account details, tell us more about what is going on."
this is a scam presumably ?,"hi gaz, yes this is a scam. charlotte"
this is what is going on in your game. please fix!!!!,hey there! please make sure to report these players as spawn trapping can be a form of eloitation.
my spirit soared upon discovering my forgotten secret stash of chocolate bars in my desk drawer ssh chocoholic addict,what a delicious stash you have there lesley your secret is safe with us do not you worry!
"thanks, this worked perfectly for me. much appreciate the prompt support and resolution!","you are welcome, reena. we are glad that your issue was resolved. we would like to know your feedback on our twitter support by answering a quick survey here thank you."
can you please sell the reputation vol 1 amp vol 2 in stores?,"yes! the magazines and cd will be available in stores when the album releases on november 10, 2017."
"i couldn t access my acct as when i went to login it told me to reset my p w. i tried this but never received a verification email, after trying myself and the call centre. they advised me there was nothing they could do and i had to set up a new email account. really...?",we would love to have a member of our team look into this with you. please give us more information here
do any of you guys know when update 1.26 comes out this is a question from everyone that plays bo3 so if you know please say it,my advice is to keep checking the latest updates url
where can i see the shorter advert ? my good friend moon williams is singing in it superproud,"is it either of these ones, aisha"
hello i have been trying to get back online for four days now! this is becoming unacceptable! mcdonalds store number 4126. help!,we have followedup via dm! please check your inbox.
what first class menu is provided on a 2008 departure from eus to liv on a weekday?,"that will be the late evening menu, andrew"
it s postcode is ol27ua i ve been trying for a while to get it now but doesn t seem to have any stock,"thank you. the wii you mario kart is due to be discontinued, therefore, we are not eecting any further stock, sorry. katy"
just waisted 20 on food was cold and the guy couldn t find my door when he had the address,here to help! please send us a note via so our team can connect.
"i am highly frustrated that has an array of delightful socks, but there were none or much else w phasma.",we do not mean to disappoint. we know how important it is to have starstudded feet and captain phasma should be included with the crew. we have shared your request with the merchandising team.
so why does not my ps4 update crap while in rest mode? it says it does that......,hey there. please verify you have the option activated
done,"hello. please, share your case number. your case number will be 8 digits. what was the reimbursement related to?"
"tsk tsk . if you mess something up on an order, you should correct it without penalizing your customer. former customer that is.","that does not sound right, michele. please message us your email address so we can follow up immediately."
currently waiting at lancaster for the 1355 to glasgow. board just says delayed and been no announcement on how delayed it will be. any idea?,we are currently investigating this delay
"rude customer service staff huffing down the phone, and no answers as to why i ve been overcharged?! assistance please?",your query regarding being overcharged. one of the team will be in touch as soon as possible.
what s going on with youtube? it s constantly freezing up on all the mobile devices,we would be happy to look into this with you. please reach out to us via message and we will get started.
"thank you so much, i didn t realise you could disable it! onto that now!",you are welcome! we are here to help!
are you going to be offering the medallion elevation this year?,"hi katy, we had not yet heard if there will be an option to purchase medallion miles to secure status for next year. it is usually released sometime the first couple weeks of december if offered."
the girl at mcdonalds and i have bonded and idk if that is sad or not. i am there way too often but ugh nuggets.,we love your dedication to deliciousness!
mobilecare credit my account for outage time and the ability to access ebay sellershub to posting my stuff on blackfriday no less! xfinity today,"hi, thanks for reaching out. i am happy to assist with your billing and connection concerns. to get started, please message me your account information. thanks again."
basildon,"thanks. we will pass your feedback on to our buyers. using the link provided, can you message your nectar card number please? we will arrange a refund for you. naomi"
we re watching it on the tv so how would i do that? thanks,so sorry about that! let try a couple of these troubleshooting steps and see if they help
amazon echo,echo m m
"another raid on an innocent subscriber by that really does not care. the n50 is gone forever, no refund. the regulator, watches, no reprimand, no sanction. and the loot continues.","hello , apologies for the late response. kindly provide the affected mobile number via message for assistance. thank you."
"hi, i have download a ticket barcode off the app onto my phone but need to send to another phone how do i do this",try speaking to the support team here ad they can assist you further
i cannot get in to my uber account could you guys message me pls,"sorry to hear that, sam! please message us the email address linked to your account so we can take a closer look."
hi!how do i call you from peru?amex travel site said my passport didn t qualify 4 insurance but was charged for it 500007870778 thx!,hi ana. thank you for reaching out to us. you may call us collect by dialing 3363931111 . enjoy your day.
my 4k settings are not working as they are intended to with my xbox one x. what should i do?,hey there. do you see it call out hdr10 specifically on the packaging? we looked at the newegg link and did not see hdr10 listed in the specs or overview. we did not see deep color mentioned either on that page. to be sure is it active on the specific hdmi port.
why does continue to deliver my packages to my leasing office and never come to my door anymore? i was home all day wanted it directly,"i understand your concern. we would like to assist. please message us the details, using the following link."
"took my kids to tonight and they loved it. all done with parenting, i have succeeded them in showing them the world.",sounds like an indescribable feeling. james
"buy a chair in argosonline is a bad, bad, aidea.... argosirelandpr","hi marlon, can i have your order number so that i can look into this for you. sue"
thank you!!!! bringing 50 of them for our punta cana wedding!,"how exciting! looking forward to welcoming you onboard soon, ashley!"
. why did you let someone order a cell phone on my account and have it sent to omaha when i live in texas?,"i would be more than happy to investigate your concerns, but i would need your account details in order to get started."
how do i log out of my virgin flying club account,"hi sue, when signed in, click on the red box that says flying club, then the option to log out will appear"
the manager at this location has bad quite crass in previous interactions. unfortunately speaking with them hasn t changed things in the past.,that is troubling. could you share more information at james
did finally connect with customer service by phone and got rebooked. thanks!,"phew! i am sorry i know it does not make up for the stress, but we have been having a busy day too. thanks for hanging with us. tara"
what is the point of a sit in price and take out price for the same item? do you use more ingridients? absolute joke!,we do not make the rules but we have to follow them chinga. heres why gt
"i m not mad, i m just disappointed. you ve known this was coming for over a month. this is just unacceptable. iphonex","hey there, are you still having issues pre ordering the device?"
get your shit together. we have already dropped your shitty eensive cable. i am getting sick of your internet outages too.,i apologize for the inconvenience. if you are still eeriencing an issue with your services please feel free to ...
enjoying first class full english breakkies on way to london great service !,"love it, did you save me a bit of bacon"
"hi, i ordered a pizza at 1046am. it is now 105pm. is there any way i can get something for free? and my pizza? lol...","hi, chelsea. we are sorry that you have not received your order. have you already talked with the local store?"
it is not our wifi. wifi works great. it is their shitty service.,hello please message your full address and name on your account and i will look into this for you.
a whole music album went missing from my library,"do you have apple music? send us a dm, and let us know."
how do i get reimbursed for baggage ??? it s hard and i ve been trying all day,you will need to continue to work with our baggage team at 8005355225. they can help with this.
app per xbox 360 non esiste?,per vedere i dispositivi compatibili clicca qui a presto! giovanni
sounds like discrimination i have screenshots of other girls getting the same deal at other targets!! but not me! nope!,our price match policy is company wide and always available for review here have a nice day.
i do have a question. i went to urgent care and have a copy of the police report. who do i send the medical records to?,this is something we will need to partner with our support team to take a closer look into. please reach out to our support team at for further assistance. once you do this please let us know so we can escalate it for you.
ios 11 is killing my battery,message us which device and version of ios 11 you re using. find this information under settings gt general gt about.
why am i getting this message when i have already paid for the game,we would recommend contacting the console store for more information on this.
my account was hacked. wont do anything about it and still someone on the east coast is using my account. boycottuber,"we have followed up with you via dm, be on the look out for our response."
"hey this isn t what a healthy kindle looks like, right? any ideas? tried reset button 40 second etc.",oh no! please contact in using this link so we can check out what options are available
got the wrong order. can this be resolved?,thanks for this message. sorry for the trouble. please message us with your email address amp we will reach out right away!
yeah...not to my destination. i have to over night. are you even reading these? this kid. not seeing tonight. or in the morning.,apologies for the confusion. have you been reaccommodated? send a message with your confirmation number so we can take a look.
so is down,"hi there, that does not seem right! can you message us your accounts email address or username? we will take a look backstage"
thanks for the quick response!,you know where to find us if there is anything else
can amazon reply for this. i got an empty box on order of 9000rs. price cell phone. see link,sorry to know about that. we would like to take a closer look at this. kindly report this to our support team here and we will be happy to help.
they should already know these things...,"hi there. if there is a change that youd like to see in the future regarding the xbox one controller, be sure to"
is there a way to tell your algorithms that i do not want so many covers in my playlists like in the mix of the week?,"hi, this is not possible right now. do not worry, we will let our devs know this is something youd like to see"
thankyou for information,you are most welcome. have a pleasant day azka nod
your web page for applying for the chase slate card is not working when i try to ask for a balance transfer. it will not accept the account number. see screen capture.,"understood. we would advise you to contact the bank you are transferring funds to to verify the account number. also, can you please remove the account number off of social media? this is not a secure chase site."
"hello was intending to sent cash and instead i wrongly sent it as airtime,can i get the reversal pls",yes we can reverse as long as the airtime has not been utilized. you may share via message the mpesa sms received we check.
my internet isn t working and no one can come out till ? i kinda have work and homework to do that requires internet access,let me take a look and see what is going on! could you message me your phone number and address?
could i block covers from my discover weekly playlist? tired of hearing a talking heads song from every asshole with a guitar in,"hey there! we are afraid this is not possible at the moment, but we are passing on all feedback about this"
i need a five page thesis on how a 50 minute flight that was supposed to leave at 545pm still hasn t taken off.,what is your flight number? we will check on an update.
dear i do love you but when i book a preferred delivery for this friday and get a text whilst at work to advise me delivery due today you do infuriate me,"really sorry to hear this, verity please speak with our order teamgt 0333 014 8000 and they will help further"
dear you are getting pretty consistent in disappointing your customers. first you send 720 instead of 721 amp now no info on refund,"sorry about the stretch with the return, please connect with us here and we will check this."
"i am at mcdonalds in woodstock,","thanks for joining us today, araceli! let us do it again soon."
"bonjour , je suis pigeon chez vous depuis mars 2010, mon 5 me iphone quand m me ! manuel vals voice encore des probl mes de batterie. pouvez m offrir en guise compensation le dernier samsung s8 svp ? cordialement, bisous.",we offer support via twitter in english. contact us for help in your preferred language here
what note man!! twice it got rejected due to paytm wallet issue,here to help! please send us a message with your email address for further assist.
is it worth fixing? my service ends tomorrow.,have you already put in a request to have your services ended?
missing items from my parcel please help?,"hi miss cliffe, please follow and message us your order number, email and full postal address and we will look into this for you."
whats up with this horrible service ever since i updated my phone,we will be happy to look into this further for you. send us a message let us chat.
"i was so upset after having to miss my flight this morning, because my dog sitter canceled overnight, but saved the day!",happy our team could help! maeghan
just countless fraud issues.,i would like a chance to assist. please message us with more details about your eerience youd like us to review for you no account numbers.
half an hour left before i go offline for the weekend. i would like to know about permitted route for my journey before that please. thank you.,"i cannot see any later services showing as valid in journey planners, i will speak with a colleague and get back to you by 1530. phil."
"needless to say, today i am very thankful for the staff for getting me a last minute ticket home and keeping me calm since american air screwed up again","we love the chance to make a great first impression, madison. have a great day."
i disconnect befor matches end. rezash85 i live in iran,can you provide me with a screenshot of the error? give this a go .
my email says i am only banned from communicating with players and i am still allowed to use online multiplayer but i cant?,"we would be happy to help, but we could use more info. could you follow amp message with your gamertag amp some details?"
is the animal crossing game on the mac app store?,hey there! thanks for asking we would love to help with this! animal crossing is available for ios devices running ios 9 or later. it is not currently available for mac computers.
"dear can you please reinstate your old website? the new one is awful crashes, loses my details etc. at least for ff memb!","hi chris, please let us know if you are receiving a specific error message when trying to use our website. we will do all we can to help."
"i sent a mail because you rescheduled my flight and i called to move my flight, can you help me? nobody answer me in mail and here in messages, please help me. i called and the operator said to me that moved my reservation because changed the time .","sorry for the delay, giorgio. the flight has been duly moved. thanks for your patience. floi"
someone please tell me what natural disaster happened in munster today,"so sorry for the delay, jacqueline! have you received an updated delivery date for your order? please let us know."
"hello , what is the support number for internet ceragon customers.","hello. sorry, we do not have the contacts. please try checking from their website."
who is responsible for customer advocacy or keep brand promises in mexico?? i got some important issue.,your card for assistance. thank you for tweeting.
please fix this shit,"here to help! send us a note here, and our team will follow up."
i have sent you a message and truly hope that will do something to rectify this situation.,we are taking a look at your message now. we will respond there soon.
alright so either you are fucking trash or you are,quite concerning! why do you feel this way about us? send us a message informing us as such. we are here to assist.
i see the gift card code for the nordstrom note but no access code,oh no! let us make sure you get all hookedup today! send me a message amp i will take a look alexkimbrell
so no direct train from limestreet?,"afraid not, it looks like there are some engineering works in place that day, colin"
"hola quien me puede ayudar a validar mi cuenta, ya env e varias veces la informaci n que me piden y que me pudo proporcionar mi banco pero a n sigue bloqueada, de ante mano gracias","panflo, gracias por el dato, ya revisaste que la informaci n que est s enviando coincida con los datos que fueron solicitados? de ser as , por favor contacta a servicio al cliente"
"ps4, wireless, nw 312972.",let us check out the next article to troubleshoot wired or wireless network connection
sprint terrible service all the time! i am sick of this phone and this service! cant,hey i saw your post are you having issues with your service? how long have you been eeriencing this issue? are you the only person in your area with this issue? also have you attempted any troubleshooting steps on the device? shoot me a message letting us know.
"iam trying to ativate my mpesa but it is not working, 0712438853","hi, we have been in touch and assisted."
what are ups delivery hours? anyone know,delivery hours are between 9 am to 7 pm. this may vary depending on the volume of packages the center has received that day. meaning the hours can be extended later into the evening. if there is anything else we can address please send us a dm.
1st gift under the . prime wrapping is the best! keepitsimple amazonprime,"it looks right at home, nestled under that gorgeous tree! merry christmas!"
you need to make it easier on us instead of throwing the work onto us. i build responsive sites that adapt. you should too.,we have provided tools to help make it easier for sellers with these changes
what is the point in being an amazon prime customer?! amazonprime useless,"ashleigh, it is never our intention to miss a delivery date. please keep us looped in if it does not arrive by the 7th."
"the last update from spotify is from august. with all of the recent comments, it appears you re ok with hemorrhaging subscribers for this.",sorry you feel that way. we are passing on all feedback about this. thanks for sharing your thoughts
why the fuck is the letter i turning into a question mark,we would like to help. message us which type of device and os version you are using
i have tried restarting my phone yes. when i press the app the screen goes black and never opens,sounds like you have done some great troubleshooting steps so far. we want you to be able to access your music app. let us continue to troubleshoot this in .
again have made my day by cancelling train then forcing 2 trains on one 3rd time in a month i will add absolute jokers,what service were you booked on ryan? please accept our apologies
...with you for at least 3 years is more insane to me.,"i understand, i have it as well, i paid it with my s8 when it first came out. katherinen"
have had no service for 12 hours. unacceptable,"good afternoon, i would be happy to look into any service issues you are having. can you please send me your name and ..."
dude same!!!! i called them yesterday amp we tried everything and it s still there even after the new software update!!!!!,"to clarify, when you say the new software update, are you referring to ios 11? go ahead and let us know within message here"
"hello, im using iphone 5s.","awesome! thank you for letting us know. just to confirm, are you still eeriencing the same behavior with your flash?"
"...all wiped! so i added them all back amp now, the foreign phone is back amp has wiped all my songs! what is going on?!?",hey there! can you message us your accounts email address or username? we will take a look
just about through with first they fuck do then when trying to solve the issue make me run around for hours on the phone,wegotyourback! message us and let us get you taken care of asap! melissastephens
amzl us is the carrier. why say the item is on the way and then tell me after m that item is delayed when it is still in arizona?,"apologies, please fill in this form so a member of our team can look into this for you."
hey thanks for losing my first shipment of books from the printer and then stonewalling me when i tried to get you to help!,please message us your tracking and contact number via the link so we can look into this for you.
how can have same address for family account? is it just the postalcode address ?,hey aly! could you send us a message with your accounts email address or username? we will check things out
food delivery app launches in philadelphia suburbs center city coming soon gt,thank you for share your eeriences. we will flag this correspondence for the appropriate team here at doordash
just watched a delivery man pick his nose at a stoplight for a few mins... forever team,"thank you for making us aware of this, jen. could you please message us the city and state that this occurred in? thanks!"
hi my level reset for my account on xbox one so did my your sex and age on gamertagtgh nitro i was level 46 please i need help.,"hi there, please message us your cod account email that has your gamertag linked."
hey please let me help you test a new version. this one is so awful.,we would like to help with your podcasts app. message us which device you are using it on and we will get started.
hi. the partner company has sorted it now no need to worry except my next day delivery is no longer next day delivery,"hi jack, whilst i am glad to read its sorted i am sorry the next day delivery is no longer. i hope it is not too long until your order is with you. best wishes mike"
"my no is 0720789649, just noted i cannot make any call from my number. it is not only the 400.","your line is ok donna, please restart your handset and test. briefly elain the challenge you are eeriencing on your fiber."
hey familia is the website down? trying to get some stats.,hey! we have just replied to your dm. we will carry on chatting there
"i was supposed to get this phone today,asked delivery guy to come in eve. he agreed. now he does not answer his phone amp i get this",apologies for the trouble. kindly reach out to our support team here amp we will look into it.
ok done,"perfect, thanks. this time, let us try updating your device through itunes by following these steps"
so 3 months of the same menu every day...,"no jasper, we serve different menus at different times of the day, it depends on the service you take"
this is what i have been getting. i have not requested for it. i wonder if i should recharge now what will happen to my money. my number is 08023163611,"hello, please be patient as the issue is being worked on. thank you for choosing airtel."
how do you train your ninja deliver drivers to sneak a card through a letterbox when were home without ringing the door bell?,"if you need assistance, please use the link provided to message us your tracking and contact information. thanks"
quando a gente recebe o cupom da promo o day 1?,"oi! fique atento ao seu email tanto na caixa principal como no li spam, maiores informa es no link"
so why is it that poppie seller has to stand out in the cold in front of your store in this freezing cold but you can make room for a stupid chocolate stand in the door way answer this??,"hi corey, i can look further into this if you can tell me which store this is? kind regards, andy"
"for the greater good of the world, please, please, make an alarm feature. pleaseeeeeeeeeeee!!!!",hey! this sounds like a great idea! suggest it in our community at and get support from other users
lease target winter come and there is no a lot of curtains at target wheaton to choice do something please,we apologize we never want to disappoint our guest. is this the wheaton in md or il? please message us back. thank you.
"hi , my partner has been trying to contact you re compensation for the last month but emails are being ignored...","hi james, would your partner be able to contact us via twitter with their details? we could have a look into it. sophie"
you abandon 100s worth of our christmas presents on a countryside wall in the pouring rain and have the gall to send a status update to say delivered? ridiculous.,this is not the eerience we want for our customers and i am very sorry. please allow us to look into this further. use the following link so we can go over options
yeah. it will let me on desktop but not on the app,have you tried deleting and reinstalling the app? do you have the latest software updated? let us know.
need help!! ios app down for 3 days!!,"hey troy! what ios and spotify version are you using? also, are you getting any error messages? we will do our best to help you out"
missing our pet goldfish randy at hotelmonico in seattle. hope you are keeping him safe,"there is definitely no shortage of guppylove at monacosea, rhonda. randys doing great the pet life is fintastic!"
. i bought a used sound bar on warehouse and the remote arrived like this. i do not want to refund the whole thing amp send it back.,i am sorry to see this! was it sold directly by amazon or one of our sellers? you can check here
"found a glove in a salad, amp you only offered to refund me 5. wtf. disgusting and a serious health concern.",icky! def not okay. message us your account email so we can fix this.
i just cant believe that after 2 days it s not fixed. you can t imagine the trouble this is causing. is this gonna happen with all of my new singles? thinking seriously about not using spotify anymore in that case.,"we understand the frustration. it looks like the right team have made changes, but it can take time for these changes to reflect in the app. hopefully they will be fixed soon. thanks for bearing with us"
the most understaffed taco bell in the universe is at 1110 n 90th st in seattle..anarchy whereismyfood,we want to talk. message us.
not sure it is the clear one. maybe blue,if you d like we can chat securely through our website so i can look at your account? fd
"is the page faulty or not up to date or are there actually no delivery slots available for these dates in s20 halfway, sheffield?",hi gemma. please can you message me your postcode amp email so i can look into this? thanks chloe
why is my iphone x sounds not working while i receive a call?? please advise. i can listen to other sounds but when i receive calls i cant hear the ringer sound,we want to help. check this out it goes over attention aware features. questions? message us.
why did you remove the lyrics on spotify? love from a norwegian who loves you but is disappointed with this,hey ingrid! lyrics is currently unavailable as we are making some big improvements to the feature. we will share more updates soon
cafe nero codes out of stock on priority. first time ive ever seen that! disappointed,"all our offers are subject to availability, sue. keep your eye on priority for more deals."
thanx for never letting me leave voice mails i get hung up on through messages always have to call twice.,hi there! this sounds super serious so i would like to look into this for you. message us and we will get this addressed asap! whitneyj
your airdrie store is temp out of barista when will it be back in stock? it s my fave milk,hey. i have spoken to duty manager scott who is advised it should be back in stock tonight chloe
obrigada s2,"de nada, estamos para ajudar."
"hey , can you message me to help with a luggage issue?","hi, jenna. please message us using the following link."
